Omic,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
cnv,0.8510752688172044,0.4807692307692308,0.5568372265480164,0.5229558404558404,0.5092263770712047,0.08552075089233466
snv,0.8576344086021506,0.5,0.4288172043010753,0.5,0.4616433324691037,0.0
meth,0.8611827956989246,0.875,0.749683802787251,0.6677279202279202,0.6867429460825687,0.4022225885849413
mRNA,0.8578494623655913,0.75,0.5697050956088777,0.5586039886039886,0.5525519978106185,0.14721673271199603
miRNA,0.7924731182795699,0.3846153846153846,0.44092722072143653,0.4834045584045585,0.4592563950546763,-0.05549048049485772
rppa,0.8479569892473118,0.6057692307692307,0.5605429312993273,0.5479772079772081,0.5430135771333594,0.12522507742970596
cnv_snv,0.8608602150537635,0.5,0.4802688172043011,0.5125,0.4824600293838043,0.04743416490252569
cnv_meth,0.8836559139784945,0.75,0.796964696223317,0.6969159544159544,0.7266694416694417,0.4799407054049135
cnv_mRNA,0.8608602150537635,0.5,0.6376468562953547,0.5661752136752136,0.5685105898672143,0.19923052414245243
cnv_miRNA,0.8023655913978495,0.4230769230769231,0.43422747089766,0.47845441595441596,0.4544615735813558,-0.06089712855599182
cnv_rppa,0.8510752688172042,0.4807692307692308,0.5607892367180466,0.54747150997151,0.5416463332661154,0.1251613690385585
snv_meth,0.8965591397849462,0.75,0.8027137804724012,0.7149715099715099,0.739973533032123,0.5060604892533782
snv_mRNA,0.8737634408602151,0.5,0.6908350140775058,0.6137464387464387,0.6183442032392483,0.29874982917339094
snv_miRNA,0.7993548387096774,0.5673076923076923,0.5919067526676223,0.5381339031339032,0.5364356076786417,0.11255265439444076
snv_rppa,0.8510752688172042,0.5865384615384616,0.639790962961152,0.5685541310541311,0.5763822432974575,0.2078926665918809
meth_mRNA,0.8835483870967741,0.625,0.8456066411238824,0.6324501424501425,0.6655444165970482,0.4181632839148796
meth_miRNA,0.8611827956989246,0.875,0.749683802787251,0.6677279202279202,0.6867429460825687,0.4022225885849413
meth_rppa,0.8611827956989246,0.875,0.749683802787251,0.6677279202279202,0.6867429460825687,0.4022225885849413
mRNA_miRNA,0.8543010752688172,0.4807692307692308,0.5968885622472941,0.5679772079772081,0.5687133663318472,0.1690837209293242
mRNA_rppa,0.8800000000000001,0.5673076923076923,0.811816976127321,0.652400284900285,0.6872239845924057,0.4284296865675422
miRNA_rppa,0.8608602150537633,0.6057692307692307,0.6819247576672494,0.5849715099715099,0.5980118137559154,0.2533705349186798
cnv_snv_meth,0.8836559139784945,0.75,0.7927300604886812,0.7075641025641025,0.7314089910788024,0.4872830063555158
cnv_snv_mRNA,0.8577419354838709,0.625,0.6845502498366792,0.5774002849002848,0.5867453181019424,0.23964692230025347
cnv_snv_miRNA,0.793010752688172,0.5865384615384616,0.5383433265329816,0.5319301994301995,0.5234389960664549,0.06928836478843678
cnv_snv_rppa,0.8543010752688172,0.5865384615384616,0.5941939456539012,0.5786253561253561,0.5757702421063204,0.19341578442855584
cnv_meth_mRNA,0.8770967741935483,0.625,0.7936781609195401,0.6155270655270655,0.647331396673502,0.3649113666043001
cnv_meth_miRNA,0.8836559139784945,0.75,0.796964696223317,0.6969159544159544,0.7266694416694417,0.4799407054049135
cnv_meth_rppa,0.8610752688172043,0.75,0.7447076614317995,0.6652279202279202,0.6834067766614936,0.3950519598714853
cnv_mRNA_miRNA,0.85752688172043,0.4807692307692308,0.5791262778748875,0.5592521367521368,0.5559274186860393,0.1535006029297971
cnv_mRNA_rppa,0.8511827956989247,0.5,0.6189716086657133,0.5524002849002848,0.553813700918964,0.16375612761507624
cnv_miRNA_rppa,0.85752688172043,0.4807692307692308,0.660092308507214,0.580548433048433,0.5877897210338227,0.2304094899160541
snv_meth_mRNA,0.8803225806451612,0.625,0.7885638952157306,0.6387464387464388,0.6625973938678114,0.3922469748539394
snv_meth_miRNA,0.8965591397849462,0.75,0.8027137804724012,0.7149715099715099,0.739973533032123,0.5060604892533782
snv_meth_rppa,0.8708602150537633,0.875,0.7550317179627525,0.694437321937322,0.7064388494105475,0.43656556513335393
snv_mRNA_miRNA,0.8673118279569894,0.5,0.6560992372477357,0.5805270655270655,0.5846144859711104,0.23177746487380255
snv_mRNA_rppa,0.8705376344086021,0.5,0.7573440065681446,0.5905982905982905,0.6123080428343587,0.30511021430265906
snv_miRNA_rppa,0.8478494623655914,0.5865384615384616,0.6214832706534598,0.5667022792022792,0.5683715233672328,0.18956759087477884
meth_mRNA_miRNA,0.8804301075268816,0.75,0.7621978123841305,0.6280982905982906,0.6523148060852235,0.36467704584171334
meth_mRNA_rppa,0.8738709677419354,0.625,0.7909195402298851,0.5949501424501424,0.6214097744360902,0.3293750087147806
meth_miRNA_rppa,0.8611827956989246,0.875,0.749683802787251,0.6677279202279202,0.6867429460825687,0.4022225885849413
mRNA_miRNA_rppa,0.8673118279569891,0.6057692307692307,0.6974048913843129,0.6342735042735043,0.6513297605669108,0.32907843746051635
cnv_snv_meth_mRNA,0.870752688172043,0.75,0.7408927909317231,0.5931695156695157,0.6138641426799321,0.3006345843276486
