Omic,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
cnv,0.7198412698412697,0.5906349206349206,0.23216083493800882,0.2632575757575758,0.24636516116894697,0.10444217498934642
snv,0.7493386243386244,0.6409523809523809,0.20599257224257225,0.25535714285714284,0.22781995286551254,0.031916654943833056
meth,0.7855820105820106,0.6806349206349206,0.41727972872538094,0.37624458874458877,0.37708690079064733,0.25511849171541934
mRNA,0.7746031746031746,0.6806349206349206,0.33660897435897436,0.32326839826839826,0.3150073693523046,0.20229859036287734
miRNA,0.7345238095238095,0.569047619047619,0.310595229046316,0.3329004329004329,0.3162727646492679,0.1571009754929581
rppa,0.7527777777777778,0.6107142857142858,0.2596321733821734,0.275,0.25870217354595243,0.11289277252969857
cnv_snv,0.7234126984126985,0.6735714285714285,0.250770924124185,0.26547619047619053,0.252625416357278,0.14285869006201685
cnv_meth,0.7894179894179894,0.6537301587301587,0.40850854700854705,0.36617965367965366,0.36782881260737416,0.252951260799684
cnv_mRNA,0.7674603174603175,0.6347619047619047,0.2707542735042735,0.283982683982684,0.26809295295361435,0.11422907327401881
cnv_miRNA,0.7346560846560848,0.5669047619047619,0.3606971319743059,0.34724025974025974,0.34098004543252,0.17022532159191955
cnv_rppa,0.7601851851851851,0.6406349206349207,0.21992877492877497,0.25481601731601733,0.2301294546495749,0.06004378247303814
snv_meth,0.8037037037037038,0.6836507936507936,0.4638696581196581,0.3821428571428571,0.39750781903880883,0.32081155608492806
snv_mRNA,0.7817460317460317,0.7105555555555556,0.3875277777777778,0.33279220779220775,0.3369103141564983,0.24458625170249126
snv_miRNA,0.7056878306878307,0.6758730158730158,0.23961164318773012,0.2595779220779221,0.24614826126599249,0.04298341311931575
snv_rppa,0.7310846560846562,0.6546031746031746,0.24447927072927073,0.2720779220779221,0.25356370685442603,0.12371221947617088
meth_mRNA,0.7821428571428571,0.7046031746031746,0.3549209401709402,0.3524891774891775,0.34181234673949745,0.24041135164273975
meth_miRNA,0.7855820105820105,0.6806349206349206,0.38814316239316243,0.3607683982683983,0.3592946804839728,0.2546734519793931
meth_rppa,0.7855820105820105,0.6806349206349206,0.38814316239316243,0.3607683982683983,0.3592946804839728,0.2546734519793931
mRNA_miRNA,0.7894179894179894,0.6376190476190476,0.41322863247863245,0.3732683982683983,0.3743123467394975,0.2939304428438333
mRNA_rppa,0.7892857142857143,0.6426984126984128,0.3638010962467485,0.34345238095238095,0.33859001005161965,0.27806889602437235
miRNA_rppa,0.7601851851851851,0.5628571428571428,0.2439761904761905,0.26607142857142857,0.24570338861724156,0.06357752096896897
cnv_snv_meth,0.7818783068783068,0.6836507936507937,0.3460671218877741,0.3482683982683983,0.33726303106390987,0.1913693130261899
cnv_snv_mRNA,0.7711640211640212,0.6107936507936508,0.2708931623931624,0.296482683982684,0.27646294950295874,0.1190417945942126
cnv_snv_miRNA,0.716931216931217,0.6877777777777778,0.26297044380740037,0.27029220779220775,0.2609970425812239,0.0763775583967172
cnv_snv_rppa,0.7601851851851852,0.6476984126984127,0.2879281710640406,0.2887445887445887,0.2778064759528681,0.17475665085780157
cnv_meth_mRNA,0.7818783068783068,0.6717460317460318,0.40047008547008545,0.3482683982683983,0.3534221142974612,0.2587112049308046
cnv_meth_miRNA,0.7892857142857144,0.6896825396825397,0.39611645299145304,0.3548160173160173,0.355844621382318,0.2721879761846411
cnv_meth_rppa,0.7966931216931217,0.6936507936507936,0.4509934039390561,0.3911255411255411,0.39993560055424066,0.29838849751839996
cnv_mRNA_miRNA,0.771031746031746,0.6257142857142857,0.38698575498575505,0.3333874458874459,0.33932444238873477,0.20747343482732622
cnv_mRNA_rppa,0.7526455026455026,0.5807936507936509,0.2195673076923077,0.2566017316017316,0.2330417529330573,0.05187514595359386
cnv_miRNA_rppa,0.7675925925925926,0.5599206349206349,0.21971794871794872,0.26136363636363635,0.2350664618298753,0.0640444946741358
snv_meth_mRNA,0.7891534391534392,0.6457142857142857,0.4092158119658119,0.3619588744588745,0.3640355968165866,0.2783828091262155
snv_meth_miRNA,0.7821428571428571,0.6846031746031745,0.36339529914529917,0.3411255411255411,0.337416211473797,0.23930115608798758
snv_meth_rppa,0.7820105820105819,0.6865873015873016,0.33695156695156697,0.32261904761904764,0.316750166764208,0.24376481730913163
snv_mRNA_miRNA,0.7712962962962963,0.6526984126984128,0.3379789886039887,0.3262445887445887,0.3195745965669647,0.2268334394024553
snv_mRNA_rppa,0.7818783068783068,0.6635714285714286,0.3502799145299145,0.32564935064935063,0.32419851181298914,0.22342533924805705
snv_miRNA_rppa,0.7349206349206349,0.6915079365079365,0.21964158727745686,0.262012987012987,0.23841050459757834,0.09952683091899743
meth_mRNA_miRNA,0.7855820105820105,0.6426984126984127,0.3632692307692308,0.34945887445887447,0.34320485147497176,0.2641592663359769
meth_mRNA_rppa,0.7962962962962962,0.6746825396825397,0.43843589743589745,0.37142857142857144,0.38295321975537056,0.3164851850527305
meth_miRNA_rppa,0.7857142857142857,0.6786507936507936,0.40069444444444446,0.36493506493506495,0.36597644376899696,0.252912154069893
mRNA_miRNA_rppa,0.7783068783068783,0.6277777777777778,0.33774145299145303,0.31731601731601733,0.3125289543045093,0.2382182027508935
cnv_snv_meth_mRNA,0.7821428571428571,0.7225396825396826,0.3733397435897436,0.3482683982683983,0.3437317372215615,0.23897949160593565
cnv_snv_meth_miRNA,0.7928571428571429,0.7035714285714285,0.46015064102564107,0.40844155844155844,0.4131586622468907,0.3230762389351738
cnv_snv_meth_rppa,0.7855820105820105,0.7255555555555555,0.3792733184689706,0.36910173160173165,0.3605545435523465,0.2381082458844511
cnv_snv_mRNA_miRNA,0.7711640211640212,0.5588888888888889,0.2709465811965812,0.2851731601731602,0.2686942480507467,0.12353287503694414
cnv_snv_mRNA_rppa,0.7638888888888888,0.5838095238095238,0.2554978632478633,0.2828463203463204,0.26177350850916997,0.12561015166530382
